"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b2282677ff1ba19e9700383f454417bd","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA,72.9429429639073,-6.85045334918489,0.790293352115902,-8.66824114215783,4.38846541499987e-18,9.88721257999471e-15
"4bc36dab60f949fc7cebe06fef2f576c","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella.1",NA,55.6857453356003,-5.47154179191228,0.74149425123841,-7.37907513480241,1.59392867027925e-13,9.88548911654836e-11
"4a1f301649918dd9d49bc2f8e45d16d1","d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__Clostridia_UCG-014","g__Clostridia_UCG-014",NA,21.9255229930161,-4.96429356210776,0.673925056155887,-7.36623978699415,1.75508018047907e-13,9.88548911654836e-11
"4c8288bfbd76958c0c094d87b97650f8","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia-Shigella",NA,79.5729549846953,-3.99112241246971,0.661370446308146,-6.03462467176854,1.59332579376745e-09,3.58976301335806e-07
"11723b1b2eec07f4b069bbfe627c577f","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group",NA,20.0628201304137,-3.90663968128366,0.633599085600882,-6.1657912236075,7.01315666328517e-10,1.97508024529769e-07
"7d31db74a3be0442080704e5dc0dcf6d","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,6.90133793117225,-3.69827468569732,0.607394651822826,-6.08875082221845,1.13795067093972e-09,2.84866984625244e-07
"f3270b7f9b020567e59ec30f7d15fc14","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Paraprevotella",NA,8.89427458325464,-3.63034250313125,0.619034353591812,-5.86452509794808,4.50419966943086e-09,8.45663487935645e-07
"a55f549b9a40506a070a2fb7e8ca0726","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella.2",NA,426.478517332276,-3.5683710946195,0.819013313195816,-4.35691464000213,1.31908680802442e-05,0.000550352329347965
"d98a07aa2bb491ff3f01d30c9e070d45","d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__Clostridia_UCG-014","g__Clostridia_UCG-014.1",NA,8.46817539301354,-3.47259192104495,0.606214451041656,-5.72832256815721,1.01428564123294e-08,1.75783503822909e-06
"6a08495bbcbe5c4cd59981b307712775","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella",NA,6.74945288915253,-3.35625727540814,0.60098656926498,-5.5845795015235,2.3426633473246e-08,3.29876282595146e-06
